47.0755552;15.4587509;supermarket;Spar;Sa 07:15-18:00  Mo-Fr 07:15-19:30;
47.0711409;15.4485495;supermarket;Spar;Mo-Fr 07:15-19:30  Sa 08:00-18:00;
47.0549962;15.4385115;supermarket;Spar;Mo-Fr 07:15-19:30, Sa 07:15-18:00;
47.0719980;15.4368890;supermarket;Eurospar;Mo-Fr 08:00-19:30  Sa 08:00-18:00;
47.0692605;15.4419494;supermarket;Spar;;
47.0811359;15.4337029;supermarket;Spar;;
47.0717809;15.4285791;supermarket;Spar;Mo-Fr 7:15-19:30  Sa 7:15-18:00;
47.0729755;15.4096242;supermarket;Nah&Frisch Extra-Markt;Mo-Su 06:30-20:00;http://www.brauhaus-graz.at/nah_frisch/index.html
47.0607948;15.4262521;supermarket;Interspar Hypermarkt;;
47.0770538;15.4962908;supermarket;Spar;Mo-Fr 07:15-19:30  Sa 07:15-18:00;https://www.spar.at
47.0335282;15.4175451;supermarket;Interspar;;
47.0181909;15.3993247;supermarket;Spar;;
47.0640704;15.4425404;supermarket;Billa;Mo-Fr 07:40-20:00  Sa 07:40-18:00;https://www.billa.at
47.1136356;15.4216350;supermarket;Billa;Mo-Fr 07:15-19:00  Sa 07:15-18:00;
47.0929559;15.4071377;convenience;Billa;;
47.0709558;15.4278941;supermarket;Billa;;
47.0759409;15.4302029;supermarket;Billa;Mo-Fr 07:30-19:50  Sa 07:40-18:00;https://www.billa.at
47.0668937;15.4297480;supermarket;Billa;Mo-Fr 07:30-19:50, Sa 7:40-18:00;
47.1055521;15.3971177;supermarket;Merkur;Mo-Th 08:00-19:30  Fr 07:30-20:00  Sa 07:00-18:00;
47.0775809;15.4896664;supermarket;Penny Markt;;
47.0642172;15.4655206;stationery;Pagro;Mo-Fr 08:30-18:30  Sa 08:30-17:00;https://www.pagro.at/
47.0249612;15.4003266;chemist;Bipa;Mo-Fr 08:00 - 19:00  Sa 08:00 - 18:00;
47.0711379;15.4310640;supermarket;Penny Markt;Mo-Fr 7:40-20:00 Sa 7:40-18:00;
47.0780838;15.4446518;convenience;Meislmichl;Mo-We 09:00-13:00,15:00-19:00  Th-Fr 09:00-19:00  Sa 09:00-13:00;http://www.meislmichl.at
47.0769429;15.4444663;convenience;Feinkost Lichtenegger;;
47.0705125;15.4410765;beauty;Fein und Flink;Tu-Sa 10:00-19:00;http://www.feinundflink.at/de/impressum/
47.0678385;15.4398326;travel_agency;GRUBER Reisen;Mo-Fr 09:00-18:00;https://www.gruberreisen.at/reisebueros/graz/
47.0684371;15.4000794;dry_cleaning;Textilreinigung Norge;;
47.0683287;15.4071910;tabacco;Tabak Trafik;;
47.0682347;15.4014269;hairdresser;Maria & Maria;Tu-Fr 08:00-18:00  Sa 07:30-13:00;http://www.mariaundmaria.at/standorte/graz-eckertstrasse-77
47.0676912;15.4010669;florist;Blumen Skofitsch;;
47.0739037;15.4356432;shoes;GEA;;
47.0668305;15.4680507;seafood;Sofisch;Th-Fr 09:00-19:00  Sa 9:00-13:00;
47.0632695;15.4429368;optician;Wutscher Optik;Mo-Fr 09:00-13:00,14:00-18:00  Sa off;
47.0718068;15.4381537;shoes;Foot Locker;Mo-We 09:30-19:00 Th-Fr 09:30-20:00 Sa 09:30-18:00;
47.0717384;15.4383610;bakery;Sorger;Su 08:00-18:00  Sa 07:30-18:30  Mo-Fr 07:00-18:30;
47.0710195;15.4375207;beverages;Jodl;;http://www.jodl.cc/
47.0566701;15.3964634;kiosk;Trafik;;
47.0566894;15.3962979;florist;Blumen Kreativ;;
47.0707798;15.4342487;bakery;Hubert Auer;Mo-Fr 06:00-18:00;
47.0722261;15.4244803;outdoor;Bergfuchs;;http://www.bergfuchs.at/
47.0669640;15.4322077;electronics;Neuhold Elektronik;Mo-Fr 09:00-18:00  Sa 09:00-12:30;
47.0593886;15.4540415;beauty;Fingernagelstudio Eva;;
47.0586958;15.4603368;copyshop;Copy Shop;Jul-Sep: Mo-Fr 08:00-13:30  Nov-Jun: Mo-Th 08:00-17:00  Fr 08:00-15:00;http://deincopyshop.htu.tugraz.at/
47.0686638;15.4407905;furniture;Hästens;Mo-Fr 10:00-18:00  Sa 10:00-17:00;http://www.scandinaviandesignhouse.at
47.0672563;15.4420237;kiosk;Trafik Widakowich;;
47.0668069;15.4452275;books stationery;Libro;Mo-Fr 08:30-18:30  Sa 08:30-17:00;
47.0695902;15.4427902;optician;Brillenquartier;Mo-Fr 09:00-18:30  Sa 09:00-18:00;http://brillenquartier.at
47.0712514;15.4369811;books;Libro;Mo-Fr 09:00-18:30  Sa 09:00-18:00;https://www.libro.at/
